variable,lambda,kappa
vocal_repertoire,6.610696135189609e-5,0.1647255651526691
resting_time_percent_activitybudget,0.4982520612506468,0.2148385922217008
percent_frugivory,6.610696135189609e-5,0.17108516395464882
group_size,6.610696135189609e-5,0.12243064653252446
home_range,0.6781947041845807,0.23153906177629693
body_size,0.9999338930386481,0.5853289406280205
feeding_budget,6.610696135189609e-5,0.19816844212013845
dietary_breadth,6.610696135189609e-5,0.1366845232701223
day_journey_length,0.07815458283660778,0.14519652752989973
home_range_body_site_ratio,0.0713320360029134,0.10007429527928911
model,0.7504556636759382,0.309925521399086
model,0.2849920194167637,0.29122589160159174
model,0.5780199208597074,0.22947658032660054
model,0.9469216398019529,0.46457221721967723
model,0.6021700470260031,0.2578090066845452
model,0.9083637664311246,0.37533696357711094
model,0.6675526589338258,0.21434927559348724
model,0.7959365639039443,0.41144772973712523
model,0.7969626711420758,0.3841139680645108
model,0.803486326957022,0.36162510271219
model,0.7317320854372966,0.2604032393721593
model,0.7573538248705448,0.286141923495626
model,0.5402842115384322,0.3235189654329077
model,0.6968397152474124,0.29374992473979744
model,0.6471339995719797,0.321684201966541
model,0.8213326134997816,0.3151982189139388
model,0.7993468707673399,0.39631093571311266
model,0.9999338930386481,0.49223041113542815
model,0.5839355312183175,0.3325460683908096
model,0.31885316774257394,0.19200930437954375
model,0.5198899176131158,0.20732001187922447
model,0.8615324030834235,0.38844034870638233
model,0.8512669818163792,0.3821082900750414
model,0.5980461942618808,0.2886545168389818
model,0.45172341549956824,0.24213230295797583
model,0.6378012022312284,0.26622823021335057
model,0.8333438258614307,0.3525165360672883
model,0.7228769676197001,0.32307767881506544
model,0.8595762465513658,0.4472030622977236
model,0.8400972946434166,0.42473209144108093
model,0.5100097512705061,0.3512530233771644
model,0.8463166303921592,0.39708917629788704
model,0.5546356036841242,0.2973656682284633
model,0.7585250160574943,0.43283486455805564
model,0.7374197996135775,0.3873142346833683
model,0.4656337118719971,0.1831927950295635
model,0.6127483067530667,0.21914618536172148
model,0.6804401837769827,0.2720132714667587
model,0.5734803861114878,0.2631808189356666
model,0.4708381477839117,0.22935411612843176
model,0.6406877742700906,0.20349941489826154
model,0.45739097866034156,0.2166620665466349
model,0.5395723669503123,0.1872268356982339
model,0.6741289240459188,0.34475687503182834
model,0.8694764302757375,0.47229917189238096
model,0.7008999840755759,0.24831765688785826
model,0.48604875172403383,0.24682542937272411
model,0.7838579710192739,0.37905591817748124
model,0.5459157868256403,0.22376037755725042
model,0.7372080848504824,0.29506645275796667
model,0.6877244625423247,0.3497920971490156
model,0.5613567029693932,0.2634994438978304
model,0.41795978057302063,0.26298940650384084
model,0.4327565436433378,0.23284541360801897
model,0.5696089056401389,0.2501044707489008
model,0.7956189720082071,0.38077071820347125
model,0.5830440898604315,0.2206248328049629
model,0.635782077292561,0.3734799206469966
model,0.8127908386535452,0.34915161423991437
model,0.7183371694929855,0.35001813508329427
model,0.526702671125067,0.22135858220795454
model,0.7260102029246739,0.268511136853164
model,0.9149443037131547,0.5590844873700016
model,0.9999338930386481,0.5238337185053747
model,0.9026295565233874,0.4029221440127169
model,0.4767206242586896,0.26012887609781005
model,0.8234622774196103,0.3859634927648732
model,0.9967378668608894,0.6135111981827115
model,0.7807511191608014,0.36202743044547736
model,0.6513021291657988,0.334706815422379
model,0.5403812855409077,0.28583072147417676
model,0.9792553762275502,0.5840035486322948
model,0.5701788170365799,0.28857582796956677
model,0.5713767995257492,0.20597387906340076
model,0.889640792469597,0.47493851060554015
model,0.6361359940815665,0.28525321115204105
model,0.63603618982035,0.29612226183039675
model,0.7725181723807405,0.35458321858193237
model,0.33273988731128645,0.2520608153232803
model,0.6146023928857733,0.22004122054693578
model,0.9646371987071715,0.43106367449661076
model,0.8743311773744447,0.42849872898620095
model,0.35985816887600175,0.2921565254444594
model,0.8283568923790218,0.33585011526295105
model,0.7384475877358458,0.3454194413864288
model,0.4685648718203403,0.2164368985812592
model,0.8087848712490601,0.43286042129888924
model,0.6807543635637334,0.30996492944614423
model,0.7763070671494904,0.36525710585143345
model,0.7453384173188554,0.35607386884619197
model,0.6317027999613876,0.32418917196402147
model,0.8092063980153555,0.3468921638472002
model,0.6473915763947268,0.3310125563772544
model,0.761948554945689,0.32372821274703917
model,0.8016132438011262,0.31930933175736037
model,6.878602020743982e-5,0.20973290449476178
model,0.7085868821712118,0.325104678692696
model,0.478992186557709,0.23147761446820242
model,0.5483397417087515,0.2669454726610765
model,0.6533132419964245,0.23948537907299883
model,0.915229435491639,0.5039312849215032
model,0.7299080719353069,0.329694237590556
model,0.47862436966274924,0.23902727774712945
model,0.8428584878112704,0.3325800962295747
model,0.43919065270023877,0.25176383370679367
model,0.7570428927265916,0.28435050633797415
model,0.6692173485042989,0.2785458034336403
