site,id
Beijing Zoo,1kn_jleCuGIJ2yXqyc6vDuE4aEbatGjLf4Euryydpkkw
Wuhan Zoo,16YJHWq5OnYCB4dgFY7bgfYzERLBQ9zdC6AovUZ4uvu8
Zurich,1ndUFCqtocCJp9h3Be3AzLgOFzFZS2KxVAu9N3kJNnFE
Pecs,1C_4-AyZijHwZEHv7d0TiI5mZN1R_HUSd
Lund,1huXRWoaaZBxN2lO1IrmYDFwwFxMbkT0YGgGLyqrmDj8
Lagos,1Jk2uj0R9Tmbzk3Ax92iFoUcE60NCwLQ-
TBRI,1Z9RznGKTBrE8LpCMPdSAwj6NqyBR0mhe
Doue la Fontaine,171NK1Stokm1S_3BbHAmR0_G08tZqKKAz0A1A6UaFx0c
Duisburg,1rWvjntOjRSQNoHwoF53ADftvCdJ0gMd8
Apenheul,1YSw2usMd3LtpTxfmoqGdDSKBGYK5KUusHqTN12OdjcQ
WKPRC,1SmxHZqEkNKVgdbY3CrxBkeFfz8ZYLv-0SgwpDSBhPIs
Paris Zoo,1Chr8jzdxdvU09Is4dh49Ho3_koigYxrquTTpGJGiaLo
UCSD,1q1pc4JztzdRfD8asuxi1wFOcetfl9dW4dW95-IE8MmI
Tacugama,1Ju5Ju-7AyYgSfb3oUi3jy33EbvyOFVTuo5szpWGalx4
Vienna Zoo,1WE-EZi7x4IZ8w7FAHXC_VVrn8Pd1NrTa
Lodz,1QXPtbsARx71OTP6QCcfADQHrqPsb7A73
Duke,1HiR_93ZPaNeTkftiEbG-jOYY73DnHcz2Cn1NZZX3w6I
Lincoln Park Zoo,1gka3ojJXzKcGLzCa3nx39ywq-GthbJnf
ECNU,1mEhEyB8CLh7wmifKTNu9y5cAOkpycEZ7
Strasbourg,1WxrZzE4WCtRV2b5VVQ9RuSVBQjEdgtU_
F and M,1j6ZdwQTjKhgaRBJRnJOU3N72aWinkVj_6usQiRr0G6k
Monkey Haven,12pmJF8DKG61i49NJ_7Z2U-iIlVFhyvdt
