is,should
ACCI,ape_initiative
apenheul,apenheul_zoo
beijingzoo,beijing_zoo
douelafontaine,doue_zoo
dpz,german_primate_center
DPZ,german_primate_center
duisburg,duisburg_zoo
Duke,duke_lemur_center
ECNU,east_china_normal_university
edinburgh,edinburgh_zoo
F&M,franklin_marshall_college
Gibbon Conservation Center,gibbon_conservation_center
kristiansand,kristiansand_zoo
kumamoto sanctuary,kumamoto_sanctuary
lagos,lagos_zoo
Leipzig Zoo,leipzig_zoo
LincolnParkZoo,lincoln_park_zoo
Lódź  ,lodz_zoo
LRC,language_research_center
Lund University Primate Research Station Furuvik,primate_station_lund
Monkey_Haven,monkey_haven
monkeyhaven,monkey_haven
paris,paris_zoo
Pecs,grastyan_center_pecs
strasbourg,primate_centre_strasbourg
TBRI,southwest_national_primate_center
vienna_lab,vienna_university
vienna_zoo,vienna_zoo
Wolfgang Koehler Primate Research Center,leipzig_zoo
wuhanzoo,wuhan_zoo
Zoo Heidelberg,heidelberg_zoo
Zoo Leipzig,leipzig_zoo
zurich,primate_station_zurich
