model,waic,se_waic,weight
vocal_repertoire_model,14140.3771849424,87.1206793198218,0.12
feeding_budget_model,14140.5653710759,87.1006513868429,0.11
dietary_breadth_model,14140.6980018747,87.1030747926647,0.1
base_model,14140.8246583487,87.0172788929361,0.1
terrestriality_model,14140.921760906,87.0982091264119,0.09
frugivory_model,14141.0046540048,87.1043515261009,0.09
day_journey_model,14141.0905358688,87.1138937986853,0.08
group_size_model,14141.400398199,87.1150370448373,0.07
home_range_model,14141.7580299566,87.1209594744282,0.06
color_vision_model,14142.1105956119,87.1774993689689,0.05
diurnal_resting_model,14142.916333039,87.1176750192346,0.03
frugivory_terrestriality_model,14143.0191816093,87.2516124817118,0.03
home_range_feeding_budget_diet_breath_model,14143.2944796561,87.2664501442083,0.03
day_journey_group_size_model,14143.458696981,87.3059025641873,0.03
diet_diversity_model,14145.1842218565,87.3752925890303,0.01
