variable,lambda,kappa
vocal_repertoire,0.9999338930386481,0.3876231482179149
group_size,0.9999338930386481,0.44904266769634005
home_range,6.610696135189609e-5,0.10343910591260932
day_journey_length,0.18078085121693546,0.32017706566832754
resting_time_percent_activitybudget,0.8210226039779942,0.3652443636567464
feeding_budget,0.6398285751790151,0.2851951705797665
dietary_breadth,6.610696135189609e-5,0.1994244187315475
percent_frugivory,0.36761287822841227,0.26894282076738873
body_size,0.9999338930386481,0.6148434738949231
model,0.7025140939658866,0.29315810323665675
model,0.7641193644332113,0.2889715804837996
model,0.6723374056950251,0.2981168931918822
model,0.5932633824145009,0.26919173860841084
model,0.560629655685689,0.1665925009027082
model,0.7712214812937462,0.27004390355184826
model,0.5082647901362805,0.17111653580349453
model,0.7100725976847391,0.2310345266096717
model,0.8453505505328233,0.407494246081308
model,0.5148105538482942,0.24716622270495084
model,0.5672443306015291,0.24634011031682596
model,0.8048476554970598,0.45931368278353535
model,0.7560344507729139,0.33238320341140976
model,0.8325953298822569,0.3625454424563605
model,0.8309125148717791,0.3689175056833987
model,0.9999338930386481,0.5584709156287658
model,0.7840275294029339,0.2795559124189033
model,0.5996797001573124,0.3145261960356975
model,0.5805189124558393,0.33220627180817736
model,0.665876100491789,0.27708974308265266
model,0.8914165431383196,0.3610067234516335
model,0.4729411950011015,0.3195490072263473
model,0.7158154590983398,0.27421534985269713
model,0.5488131740809699,0.2402368272272095
model,0.8801480942814306,0.40133727413838005
model,0.6693204637065187,0.3411972718735638
model,0.6811251562952995,0.2874265658326584
model,0.7029930099541776,0.28144654483445314
model,0.9264294811362718,0.5158530024965916
model,0.7585093791171685,0.33507123329107497
model,0.46674315346661754,0.2552417250491914
model,0.4819229013654662,0.1726371826306286
model,0.6538152288945088,0.28200116649326684
model,0.6973807242135706,0.3207556125261062
model,0.9292685164918225,0.4499478242869176
model,0.791121249683313,0.36635665425767555
model,0.2851646285897885,0.2233252305363938
model,0.7713109752705449,0.29767559354681444
model,0.7680715223188265,0.373898769325214
model,0.5165818590870411,0.2835776556641918
model,0.6580190824011443,0.24192127792091267
model,0.6857185465462294,0.22205096223000867
model,0.8848222855338533,0.4639029772241504
model,0.7250311602770778,0.2770626383275861
model,0.6228256925272385,0.24018907567734532
model,0.9147425206221871,0.42964547941380354
model,0.6810223417179868,0.3184401767260672
model,0.5700411085389129,0.3030155063934211
model,0.656801994574825,0.41710233227049076
model,0.5806309800774255,0.18166181505460202
model,0.5418025229812637,0.2805309269414412
model,0.606162413432801,0.2537653536195043
model,0.5843883087083371,0.18126321543400797
model,0.4248583265222244,0.23596570156238666
model,0.6630194284068356,0.2775730384641628
model,0.8107213752073988,0.37098789078893535
model,0.742725995365125,0.28098518082665375
model,0.4241993347299024,0.227819696870993
model,0.8208860563231404,0.3332710695917174
